Manufacturer ID,Brand Name,Old URL Slug,Image Path
5,"Shan Foods",shanf,catalog/Shan_Food_Industries_logo.png
23,"Laziza",lazeeza,catalog/Laziza-Logo-175px.jpg
24,"Ahmed Foods",ahmedf,catalog/67493143_10156709722326298_2679848237363363840_o.jpg
25,"National Foods",nfoodsf,catalog/Corporate-nfoods-logo.png
26,"",haldirams,
27,"Ashoka",ashoka,catalog/ashoka_logo.png
28,"TRS",trsf,catalog/trs-logo.jpg
29,"Goya",goyaf,catalog/goya-logo.png
30,"Ghana Fresh",ghanafreshf,catalog/ghanafresh-logo.jpg
31,"Alwadi",alwadi,catalog/alwadi logo.png
32,"Sevan",sevan,catalog/sevan-logo.png
33,"1 & 1",1och1,catalog/1and1-logo.png
