Product ID,Product Name,Old URL Slug
35,"",product-8
449,"Mahmood Rice 4;5Kg",Mahmood_Rice_5Kg
528,"1&1 Abghore/Veri Juice",Abghore_Veri_Juice
557,"Lazzat Star Basmati Rice",Lazzat_Star_Basmati_Ris_5_Kg
569,"Kaalar Basmati Rice 1121 Steam",Kaalar_Basmati_Rice_1121_Steam
576,"TRS Rice Flour",TRS_Ris_Mjöl_500g
598,"Falak Extreme 1121 Basmati Rice",Falak_Extreme_1121_Steam_Rice
599,"India Gate Basmati Rice Classic",India_Gate_Classic_Basmati_Rice_5_Kg
634,"Yaqoot Extra Long 1121 Sella Basmati Rice 5Kg",Yaqoot_Extra_Lång_1121_Sella_Basmati_Rice_5Kg
645,"TRS Gram Flour 2Kg",TRS_Gram_Flour_2Kg
646,"National Corn Flour 300g",National_Majs_Stärkelse_300g
648,"Elephant Chappati Atta 10Kg",Elephant_Chappati _Atta _10Kg
649,"TRS Coarse Semolina 500g",TRS_Coarse_Semolina_500g
650,"TRS Fine Semolina 500g",TRS_Fine_Semolina_500g
651,"TRS Ragi Flour 1Kg",TRS_Hirs_Mjöl_1kg
652,"TRS Bajri Flour 1Kg",TRS_Bajri_Flour_1Kg
653,"TRS Juwar Flour 1Kg",TRS_Juwar_Durra_Mjöl_1Kg
654,"TRS Black Pepper Coarse 100g",TRS_Black_Pepper_Coarse_100g
655,"Nongshim Shin Ramyun Noodles",Nongshim_Shin_Ramyun_Noodles
656,"Nongshim Kimchi Noodles",Nongshim_Kimchi_Noodles
657,"Samyang Buldak Ramen Cheese",Samyang_Buldak_Ramen_Cheese
658,"Samyang Buldak Ramen Jjajang",Samyang_Buldak_Ramen_Jjajang
659,"Samyang Buldak 2*Spicy Ramen",Samyang_Buldak_2*Spicy_Ramen_Noodles
660,"Samyan Buldak Ramen Stew Type",Samyan_Buldak_Ramen_Stew_Type_Noodles
661,"TRS Crushed Chillies 100g",TRS_Crushed_Chillies_100g_Extra_Hot
662,"TRS Dhania Powder 100g",TRS_Dhania_Powder_100g
663,"TRS Chilli Powder Ex. Hot 100g",TRS_Chilli_Powder_Ex_Hot_100g
664,"TRS Chilli Powder 100g",TRS_Chilli_Powder_100g
665,"TRS Turmeric Powder 100g",TRS_Gurkmeja_Pulver_100g
666,"TRS Jeera Powder 100g",TRS_Jeera_Powder_100g
667,"TRS Garlic Powder 100g",TRS_Vitlök_Pulver_100g
668,"TRS Ginger Powder 100g",TRS_Ginger_Powder_100g
669,"TRS Paprika Powder 100g",TRS_Paprika_Pulver_100g
670,"TRS Whole Chillies Ex. Hot 50g",TRS_hel_Chillies_Ex_Hot_50g
672,"National Green Chilli Sauce",National_Green_Chilli_Sauce_300g
673,"National Red Chilli Sauce",National_Red_Chilli_Sauce_300g
674,"National Mango Chilli Sauce",National_Mango_Chilli_Sauce_300g
